codigoSecuencialCliente,codigoPeriodo,codigoIdentificacionCliente,tipoIdentificacionCliente,numeroIdentificacionCliente,nombreCompletoCliente,correoElectronicoCliente,telefonoCliente,segmentoCliente,scoreCrediticioCliente,provinciaCliente,ciudadCliente,fechaRegistroCliente,periodo,fechaIngesta
1000,202602,CUS-00001,CÉDULA,5080432512,ALBERTO LAUREANO GUEVARA,maresleonel@hotmail.com,(513)534-6554x94717,WEALTH,584,GUAYAS,GUAYAQUIL,2024-12-26,2026-02-21,2026-02-21 19:17:59.877054
1001,202602,CUS-00002,PASAPORTE,P48197146,CLARA BENJAMÍN TREJO,asotelo@yahoo.com,+99(9)1738168460,CORPORATIVO,495,GUAYAS,GUAYAQUIL,2022-05-22,2026-02-21,2026-02-21 19:17:59.877054
1002,202602,CUS-00003,CÉDULA,7050104985,ROSA PICHARDO APARICIO,castilloilse@hotmail.com,235-697-2521,CORPORATIVO,606,MANABÍ,MANTA,2023-06-29,2026-02-21,2026-02-21 19:17:59.877054
1003,202602,CUS-00004,CÉDULA,0018204650,AURELIO GAMEZ GONZALES,rasconmartha@hotmail.com,525.007.4329x271,WEALTH,963,LOJA,QUITO,2023-01-04,2026-02-21,2026-02-21 19:17:59.877054
1004,202602,CUS-00005,CÉDULA,4452464449,ING. ALDONZA VALENTÍN,carolina89@gmail.com,966-667-6008,WEALTH,313,GUAYAS,CUENCA,2022-12-17,2026-02-21,2026-02-21 19:17:59.877054
1005,202602,CUS-00006,CÉDULA,9204802300,VIOLETA PATRICIO PEREA,magdalenasandoval@gmail.com,1-505-830-0335,WEALTH,445,PICHINCHA,QUITO,2025-08-08,2026-02-21,2026-02-21 19:17:59.877054
1006,202602,CUS-00007,CÉDULA,7176991552,MARISOL ROLANDO LEDESMA,sisneroscristian@yahoo.com,(216)894-2104,PYME,356,PICHINCHA,MANTA,2023-10-28,2026-02-21,2026-02-21 19:17:59.877054
1007,202602,CUS-00008,RUC,1054806441001,CRISTOBAL PICHARDO MOLINA,cynthiamedrano@hotmail.com,(789)856-2575,WEALTH,509,LOJA,QUITO,2022-06-27,2026-02-21,2026-02-21 19:17:59.877054
1008,202602,CUS-00009,CÉDULA,2651511121,CRISTAL ESMERALDA MIRAMONTES CANALES,javiersolano@yahoo.com,1-260-332-3098,RETAIL,828,LOJA,MANTA,2026-02-01,2026-02-21,2026-02-21 19:17:59.877054
1009,202602,CUS-00010,CÉDULA,3850769204,JUAN CALDERÓN MUÑOZ,henriquezelsa@hotmail.com,(150)648-9090,CORPORATIVO,643,MANABÍ,GUAYAQUIL,2024-06-03,2026-02-21,2026-02-21 19:17:59.877054
1010,202602,CUS-00011,CÉDULA,3970903741,SALMA GABINO ARMAS RICO,carmen49@hotmail.com,(100)167-6184x72304,WEALTH,910,AZUAY,CUENCA,2023-05-03,2026-02-21,2026-02-21 19:17:59.877054
1011,202602,CUS-00012,PASAPORTE,P54128665,SR(A). JOSÉ MARÍA BERRÍOS,sandovaltomas@gmail.com,(184)992-6189x141,WEALTH,578,PICHINCHA,GUAYAQUIL,2021-11-02,2026-02-21,2026-02-21 19:17:59.877054
1012,202602,CUS-00013,RUC,7373782219001,MTRO. SOLEDAD NÁJERA,davidzedillo@yahoo.com,07393483564,PYME,508,LOJA,QUITO,2024-11-15,2026-02-21,2026-02-21 19:17:59.877054
1013,202602,CUS-00014,CÉDULA,2244195450,DR. ÁNGELA ARMENTA,anayaariadna@gmail.com,(087)375-3001,PYME,940,PICHINCHA,GUAYAQUIL,2021-03-02,2026-02-21,2026-02-21 19:17:59.877054
1014,202602,CUS-00015,CÉDULA,4891098988,GREGORIO ARCELIA GONZALES,uriel39@yahoo.com,09721811437,CORPORATIVO,634,LOJA,CUENCA,2025-07-23,2026-02-21,2026-02-21 19:17:59.877054
1015,202602,CUS-00016,CÉDULA,5709307023,JUAN LEDESMA RENDÓN,salinassoledad@hotmail.com,(470)120-4556,RETAIL,587,GUAYAS,GUAYAQUIL,2024-09-07,2026-02-21,2026-02-21 19:17:59.877054
1016,202602,CUS-00017,CÉDULA,7596719726,DALIA JOSÉ EDUARDO MOTA FUENTES,tomas47@gmail.com,110.022.5579x41552,CORPORATIVO,551,PICHINCHA,CUENCA,2021-09-10,2026-02-21,2026-02-21 19:17:59.877054
1017,202602,CUS-00018,CÉDULA,2619522864,VICENTE ANGÉLICA DE LA TORRE TEJEDA,dluevano@gmail.com,06674676212,WEALTH,564,GUAYAS,CUENCA,2022-07-25,2026-02-21,2026-02-21 19:17:59.877054
1018,202602,CUS-00019,CÉDULA,9680659803,DALIA MARÍA TERESA OJEDA,cottomarcos@yahoo.com,1-021-697-9729x65902,RETAIL,570,PICHINCHA,GUAYAQUIL,2021-10-22,2026-02-21,2026-02-21 19:17:59.877054
1019,202602,CUS-00020,CÉDULA,8392813517,TIMOTEO PORFIRIO GAONA MELÉNDEZ,nrivera@yahoo.com,716.701.4508x993,RETAIL,999,AZUAY,MANTA,2023-03-31,2026-02-21,2026-02-21 19:17:59.877054
1020,202602,CUS-00021,CÉDULA,7029845391,ESTELA APARICIO MATA,humbertomatos@hotmail.com,(588)916-3756x28900,RETAIL,718,MANABÍ,QUITO,2022-10-18,2026-02-21,2026-02-21 19:17:59.877054
1021,202602,CUS-00022,CÉDULA,7548045455,GABRIEL BARRAZA,leonor25@hotmail.com,287-721-7535x40838,RETAIL,510,GUAYAS,MANTA,2021-04-18,2026-02-21,2026-02-21 19:17:59.877054
1022,202602,CUS-00023,CÉDULA,6376862274,RAQUEL IGNACIO GALINDO,matosfabiola@yahoo.com,663-177-9717x75170,CORPORATIVO,664,LOJA,MANTA,2024-06-21,2026-02-21,2026-02-21 19:17:59.877054
1023,202602,CUS-00024,CÉDULA,3751335507,LEONARDO REYNOSO,jaramillomaria-del-carmen@gmail.com,06608801994,PYME,375,AZUAY,GUAYAQUIL,2025-11-18,2026-02-21,2026-02-21 19:17:59.877054
1024,202602,CUS-00025,CÉDULA,5281792459,GABINO CLARA GURULE,beatrizarteaga@yahoo.com,837-550-3758x9975,PYME,959,PICHINCHA,QUITO,2025-12-09,2026-02-21,2026-02-21 19:17:59.877054
1025,202602,CUS-00026,CÉDULA,5323030095,ING. FRIDA VIERA,pperalta@gmail.com,1-711-305-5488x51027,WEALTH,620,GUAYAS,QUITO,2026-01-20,2026-02-21,2026-02-21 19:17:59.877054
1026,202602,CUS-00027,CÉDULA,4320517946,RODOLFO OZUNA,reynaldo53@gmail.com,614-933-1637,PYME,732,PICHINCHA,MANTA,2021-09-25,2026-02-21,2026-02-21 19:17:59.877054
1027,202602,CUS-00028,CÉDULA,9171304808,ESTEFANÍA CITLALI SAUCEDO SALCIDO,dserrato@yahoo.com,1-516-091-7798,PYME,408,PICHINCHA,GUAYAQUIL,2023-08-02,2026-02-21,2026-02-21 19:17:59.877054
1028,202602,CUS-00029,CÉDULA,7562041478,AMANDA CARMONA CORRAL,miriam01@yahoo.com,708-086-9782,PYME,940,PICHINCHA,QUITO,2023-08-14,2026-02-21,2026-02-21 19:17:59.877054
1029,202602,CUS-00030,CÉDULA,1220757842,LUISA RUBÉN BARELA,nguajardo@hotmail.com,1-922-169-9586x69346,PYME,821,MANABÍ,MANTA,2024-07-19,2026-02-21,2026-02-21 19:17:59.877054
1030,202602,CUS-00031,CÉDULA,4442938981,JUANA YBARRA,amanda04@yahoo.com,1-472-269-8485,WEALTH,346,MANABÍ,QUITO,2021-10-10,2026-02-21,2026-02-21 19:17:59.877054
1031,202602,CUS-00032,CÉDULA,7767250608,ÓLIVER HEREDIA,ilira@gmail.com,1-833-394-5228x85158,CORPORATIVO,678,LOJA,GUAYAQUIL,2024-11-23,2026-02-21,2026-02-21 19:17:59.877054
