codigoSecuencialCliente,codigoPeriodo,codigoIdentificacionCliente,tipoIdentificacionCliente,numeroIdentificacionCliente,nombreCompletoCliente,segmentoCliente,scoreCrediticioCliente,provinciaCliente,ciudadCliente,fechaRegistroCliente,periodo
1000,202602,CUS-00001,CÉDULA,5080432512,ALBERTO LAUREANO GUEVARA,WEALTH,584,GUAYAS,GUAYAQUIL,2024-12-26,2026-02-21
1001,202602,CUS-00002,PASAPORTE,P48197146,CLARA BENJAMÍN TREJO,CORPORATIVO,495,GUAYAS,GUAYAQUIL,2022-05-22,2026-02-21
1002,202602,CUS-00003,CÉDULA,7050104985,ROSA PICHARDO APARICIO,CORPORATIVO,606,MANABÍ,MANTA,2023-06-29,2026-02-21
1003,202602,CUS-00004,CÉDULA,0018204650,AURELIO GAMEZ GONZALES,WEALTH,963,LOJA,QUITO,2023-01-04,2026-02-21
1004,202602,CUS-00005,CÉDULA,4452464449,ING. ALDONZA VALENTÍN,WEALTH,313,GUAYAS,CUENCA,2022-12-17,2026-02-21
1005,202602,CUS-00006,CÉDULA,9204802300,VIOLETA PATRICIO PEREA,WEALTH,445,PICHINCHA,QUITO,2025-08-08,2026-02-21
1006,202602,CUS-00007,CÉDULA,7176991552,MARISOL ROLANDO LEDESMA,PYME,356,PICHINCHA,MANTA,2023-10-28,2026-02-21
1007,202602,CUS-00008,RUC,1054806441001,CRISTOBAL PICHARDO MOLINA,WEALTH,509,LOJA,QUITO,2022-06-27,2026-02-21
1008,202602,CUS-00009,CÉDULA,2651511121,CRISTAL ESMERALDA MIRAMONTES CANALES,RETAIL,828,LOJA,MANTA,2026-02-01,2026-02-21
1009,202602,CUS-00010,CÉDULA,3850769204,JUAN CALDERÓN MUÑOZ,CORPORATIVO,643,MANABÍ,GUAYAQUIL,2024-06-03,2026-02-21
1010,202602,CUS-00011,CÉDULA,3970903741,SALMA GABINO ARMAS RICO,WEALTH,910,AZUAY,CUENCA,2023-05-03,2026-02-21
1011,202602,CUS-00012,PASAPORTE,P54128665,SR(A). JOSÉ MARÍA BERRÍOS,WEALTH,578,PICHINCHA,GUAYAQUIL,2021-11-02,2026-02-21
1012,202602,CUS-00013,RUC,7373782219001,MTRO. SOLEDAD NÁJERA,PYME,508,LOJA,QUITO,2024-11-15,2026-02-21
1013,202602,CUS-00014,CÉDULA,2244195450,DR. ÁNGELA ARMENTA,PYME,940,PICHINCHA,GUAYAQUIL,2021-03-02,2026-02-21
1014,202602,CUS-00015,CÉDULA,4891098988,GREGORIO ARCELIA GONZALES,CORPORATIVO,634,LOJA,CUENCA,2025-07-23,2026-02-21
1015,202602,CUS-00016,CÉDULA,5709307023,JUAN LEDESMA RENDÓN,RETAIL,587,GUAYAS,GUAYAQUIL,2024-09-07,2026-02-21
1016,202602,CUS-00017,CÉDULA,7596719726,DALIA JOSÉ EDUARDO MOTA FUENTES,CORPORATIVO,551,PICHINCHA,CUENCA,2021-09-10,2026-02-21
