cliente_id,codigo_unico_cliente,nombre,email,telefono,tipo_identificacion,identificacion,segmento,provincia,ciudad,fecha_registro,score_crediticio,periodo,fecha_proceso,fecha_ingesta
1000,CUS-00001,ALBERTO LAUREANO GUEVARA,maresleonel@hotmail.com,(513)534-6554x94717,CÉDULA,5080432512,WEALTH,Guayas,Guayaquil,2024-12-26,584,202602,2026-02-21,2026-02-21 19:17:59.877054
1001,CUS-00002,CLARA BENJAMÍN TREJO,asotelo@yahoo.com,+99(9)1738168460,PASAPORTE,P48197146,CORPORATIVO,Guayas,Guayaquil,2022-05-22,495,202602,2026-02-21,2026-02-21 19:17:59.877054
1002,CUS-00003,ROSA PICHARDO APARICIO,castilloilse@hotmail.com,235-697-2521,CÉDULA,7050104985,CORPORATIVO,Manabí,Manta,2023-06-29,606,202602,2026-02-21,2026-02-21 19:17:59.877054
1003,CUS-00004,AURELIO GAMEZ GONZALES,rasconmartha@hotmail.com,525.007.4329x271,CÉDULA,0018204650,WEALTH,Loja,Quito,2023-01-04,963,202602,2026-02-21,2026-02-21 19:17:59.877054
1004,CUS-00005,ING. ALDONZA VALENTÍN,carolina89@gmail.com,966-667-6008,CÉDULA,4452464449,WEALTH,Guayas,Cuenca,2022-12-17,313,202602,2026-02-21,2026-02-21 19:17:59.877054
1005,CUS-00006,VIOLETA PATRICIO PEREA,magdalenasandoval@gmail.com,1-505-830-0335,CÉDULA,9204802300,WEALTH,Pichincha,Quito,2025-08-08,445,202602,2026-02-21,2026-02-21 19:17:59.877054
1006,CUS-00007,MARISOL ROLANDO LEDESMA,sisneroscristian@yahoo.com,(216)894-2104,CÉDULA,7176991552,PYME,Pichincha,Manta,2023-10-28,356,202602,2026-02-21,2026-02-21 19:17:59.877054
1007,CUS-00008,CRISTOBAL PICHARDO MOLINA,cynthiamedrano@hotmail.com,(789)856-2575,RUC,1054806441001,WEALTH,Loja,Quito,2022-06-27,509,202602,2026-02-21,2026-02-21 19:17:59.877054
1008,CUS-00009,CRISTAL ESMERALDA MIRAMONTES CANALES,javiersolano@yahoo.com,1-260-332-3098,CÉDULA,2651511121,RETAIL,Loja,Manta,2026-02-01,828,202602,2026-02-21,2026-02-21 19:17:59.877054
1009,CUS-00010,JUAN CALDERÓN MUÑOZ,henriquezelsa@hotmail.com,(150)648-9090,CÉDULA,3850769204,CORPORATIVO,Manabí,Guayaquil,2024-06-03,643,202602,2026-02-21,2026-02-21 19:17:59.877054
1010,CUS-00011,SALMA GABINO ARMAS RICO,carmen49@hotmail.com,(100)167-6184x72304,CÉDULA,3970903741,WEALTH,Azuay,Cuenca,2023-05-03,910,202602,2026-02-21,2026-02-21 19:17:59.877054
1011,CUS-00012,SR(A). JOSÉ MARÍA BERRÍOS,sandovaltomas@gmail.com,(184)992-6189x141,PASAPORTE,P54128665,WEALTH,Pichincha,Guayaquil,2021-11-02,578,202602,2026-02-21,2026-02-21 19:17:59.877054
1012,CUS-00013,MTRO. SOLEDAD NÁJERA,davidzedillo@yahoo.com,07393483564,RUC,7373782219001,PYME,Loja,Quito,2024-11-15,508,202602,2026-02-21,2026-02-21 19:17:59.877054
1013,CUS-00014,DR. ÁNGELA ARMENTA,anayaariadna@gmail.com,(087)375-3001,CÉDULA,2244195450,PYME,Pichincha,Guayaquil,2021-03-02,940,202602,2026-02-21,2026-02-21 19:17:59.877054
1014,CUS-00015,GREGORIO ARCELIA GONZALES,uriel39@yahoo.com,09721811437,CÉDULA,4891098988,CORPORATIVO,Loja,Cuenca,2025-07-23,634,202602,2026-02-21,2026-02-21 19:17:59.877054
1015,CUS-00016,JUAN LEDESMA RENDÓN,salinassoledad@hotmail.com,(470)120-4556,CÉDULA,5709307023,RETAIL,Guayas,Guayaquil,2024-09-07,587,202602,2026-02-21,2026-02-21 19:17:59.877054
1016,CUS-00017,DALIA JOSÉ EDUARDO MOTA FUENTES,tomas47@gmail.com,110.022.5579x41552,CÉDULA,7596719726,CORPORATIVO,Pichincha,Cuenca,2021-09-10,551,202602,2026-02-21,2026-02-21 19:17:59.877054
1017,CUS-00018,VICENTE ANGÉLICA DE LA TORRE TEJEDA,dluevano@gmail.com,06674676212,CÉDULA,2619522864,WEALTH,Guayas,Cuenca,2022-07-25,564,202602,2026-02-21,2026-02-21 19:17:59.877054
1018,CUS-00019,DALIA MARÍA TERESA OJEDA,cottomarcos@yahoo.com,1-021-697-9729x65902,CÉDULA,9680659803,RETAIL,Pichincha,Guayaquil,2021-10-22,570,202602,2026-02-21,2026-02-21 19:17:59.877054
1019,CUS-00020,TIMOTEO PORFIRIO GAONA MELÉNDEZ,nrivera@yahoo.com,716.701.4508x993,CÉDULA,8392813517,RETAIL,Azuay,Manta,2023-03-31,999,202602,2026-02-21,2026-02-21 19:17:59.877054
1020,CUS-00021,ESTELA APARICIO MATA,humbertomatos@hotmail.com,(588)916-3756x28900,CÉDULA,7029845391,RETAIL,Manabí,Quito,2022-10-18,718,202602,2026-02-21,2026-02-21 19:17:59.877054
1021,CUS-00022,GABRIEL BARRAZA,leonor25@hotmail.com,287-721-7535x40838,CÉDULA,7548045455,RETAIL,Guayas,Manta,2021-04-18,510,202602,2026-02-21,2026-02-21 19:17:59.877054
1022,CUS-00023,RAQUEL IGNACIO GALINDO,matosfabiola@yahoo.com,663-177-9717x75170,CÉDULA,6376862274,CORPORATIVO,Loja,Manta,2024-06-21,664,202602,2026-02-21,2026-02-21 19:17:59.877054
1023,CUS-00024,LEONARDO REYNOSO,jaramillomaria-del-carmen@gmail.com,06608801994,CÉDULA,3751335507,PYME,Azuay,Guayaquil,2025-11-18,375,202602,2026-02-21,2026-02-21 19:17:59.877054
1024,CUS-00025,GABINO CLARA GURULE,beatrizarteaga@yahoo.com,837-550-3758x9975,CÉDULA,5281792459,PYME,Pichincha,Quito,2025-12-09,959,202602,2026-02-21,2026-02-21 19:17:59.877054
1025,CUS-00026,ING. FRIDA VIERA,pperalta@gmail.com,1-711-305-5488x51027,CÉDULA,5323030095,WEALTH,Guayas,Quito,2026-01-20,620,202602,2026-02-21,2026-02-21 19:17:59.877054
1026,CUS-00027,RODOLFO OZUNA,reynaldo53@gmail.com,614-933-1637,CÉDULA,4320517946,PYME,Pichincha,Manta,2021-09-25,732,202602,2026-02-21,2026-02-21 19:17:59.877054
1027,CUS-00028,ESTEFANÍA CITLALI SAUCEDO SALCIDO,dserrato@yahoo.com,1-516-091-7798,CÉDULA,9171304808,PYME,Pichincha,Guayaquil,2023-08-02,408,202602,2026-02-21,2026-02-21 19:17:59.877054
1028,CUS-00029,AMANDA CARMONA CORRAL,miriam01@yahoo.com,708-086-9782,CÉDULA,7562041478,PYME,Pichincha,Quito,2023-08-14,940,202602,2026-02-21,2026-02-21 19:17:59.877054
1029,CUS-00030,LUISA RUBÉN BARELA,nguajardo@hotmail.com,1-922-169-9586x69346,CÉDULA,1220757842,PYME,Manabí,Manta,2024-07-19,821,202602,2026-02-21,2026-02-21 19:17:59.877054
1030,CUS-00031,JUANA YBARRA,amanda04@yahoo.com,1-472-269-8485,CÉDULA,4442938981,WEALTH,Manabí,Quito,2021-10-10,346,202602,2026-02-21,2026-02-21 19:17:59.877054
1031,CUS-00032,ÓLIVER HEREDIA,ilira@gmail.com,1-833-394-5228x85158,CÉDULA,7767250608,CORPORATIVO,Loja,Guayaquil,2024-11-23,678,202602,2026-02-21,2026-02-21 19:17:59.877054
